# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;-0.64;3.0;-0.213333333333
6;11;9.28333333;30.0;0.309444444333
5;11;0.815;5.0;0.163
4;11;6.167559535;55.0;0.112137446091
3;11;0.715692642;9.0;0.0795214046667
2;11;8.434848484;36.0;0.234301346778
1;11;4.571006941;81.0;0.0564321844568
31;10;8.063690477;28.0;0.287988945607
30;10;37.675;67.0;0.562313432836
29;10;7.508333332;16.0;0.46927083325
28;10;1.166666667;13.0;0.0897435897692
27;10;6.071825395;42.0;0.14456727131
26;10;-0.308120495;76.0;-0.00405421703947
25;10;-0.301851852;4.0;-0.075462963
24;10;0.216666667;3.0;0.0722222223333
23;10;22.346590908;43.0;0.519688160651
22;10;0.15;4.0;0.0375
21;10;15.8;20.0;0.79
20;10;0.344791667;5.0;0.0689583334
19;10;6.981912879;64.0;0.109092388734
18;10;23.61875;140.0;0.168705357143
17;10;1.8975;5.0;0.3795
16;10;37.193181816;67.0;0.555122116657
15;10;15.723809524;33.0;0.476479076485
14;10;1.631060605;7.0;0.233008657857
13;10;1.770833333;6.0;0.295138888833
12;10;0.258928571;4.0;0.06473214275
11;10;12.05;18.0;0.669444444444
10;10;0.236363636;3.0;0.0787878786667
9;10;5.40625;20.0;0.2703125
8;10;11.811363636;29.0;0.407288401241
7;10;31.609523796;97.0;0.32587137934
6;10;10.809090895;102.0;0.105971479363
5;10;71.337960013;205.0;0.347990048844
4;10;-11.772222222;112.0;-0.105109126982
3;10;0.622083331;8.0;0.077760416375
2;10;0.170833333;3.0;0.0569444443333
1;10;0.87;3.0;0.29
30;9;7.025;14.0;0.501785714286
29;9;19.55;79.0;0.24746835443
28;9;2.56875;8.0;0.32109375
27;9;-0.625;2.0;-0.3125
26;9;11.075;15.0;0.738333333333
25;9;22.5;36.0;0.625
24;9;9.636666667;32.0;0.301145833344
23;9;85.075;183.0;0.464890710383
22;9;3.5125;10.0;0.35125
21;9;115.195833337;182.0;0.632944139214
20;9;15.133333333;25.0;0.60533333332
19;9;-72.63333333;156.0;-0.465598290577
18;9;11.825;14.0;0.844642857143
17;9;0.2828125;2.0;0.14140625
16;9;0.0;0.0;0.0
15;9;2.78125;6.0;0.463541666667
14;9;2.03758658;65.0;0.0313474858462
13;9;0.63125;6.0;0.105208333333
12;9;1.26875;9.0;0.140972222222
11;9;0.0;0.0;0.0
10;9;-0.6;1.0;-0.6
9;9;0.0;0.0;0.0
8;9;4.091666667;48.0;0.0852430555625
