# day;month;sum;weight;mean
8;11;0.0;0.0;0.0
7;11;89.7380952381;340.0;0.26393557423
6;11;6.38333333333;19.0;0.335964912281
5;11;4.93928571428;13.0;0.379945054945
4;11;56.3549138362;236.0;0.23879200778
3;11;-619.103968255;2381.0;-0.260018466298
2;11;12.7041666667;66.0;0.192487373737
1;11;43.3411616162;349.0;0.124186709502
31;10;2.7875;9.0;0.309722222222
30;10;1.02916666666;12.0;0.0857638888887
29;10;4.06666666667;23.0;0.176811594203
28;10;40.5773629149;100.0;0.405773629149
27;10;158.377117154;379.0;0.417881575603
26;10;87.6854166667;152.0;0.576877741228
25;10;19.103030303;89.0;0.214640789922
24;10;178.794080688;470.0;0.380412937634
23;10;9.64312770563;24.0;0.401796987735
22;10;21.9932291667;47.0;0.467941046099
21;10;1.00416666667;11.0;0.0912878787877
20;10;38.5071428572;112.0;0.34381377551
19;10;-50.305334596;192.0;-0.262006951021
18;10;45.9503787879;84.0;0.547028318903
17;10;11.7710497835;41.0;0.287098775209
16;10;50.4211309524;447.0;0.112798950676
15;10;-1.34318181818;17.0;-0.0790106951871
14;10;162.657281145;513.0;0.317070723479
13;10;42.7162878788;140.0;0.305116341991
12;10;7.97116666667;30.0;0.265705555556
11;10;62.2288239538;433.0;0.143715528762
10;10;70.3701388889;197.0;0.357208826847
9;10;37.91;71.0;0.533943661972
8;10;6.46386363636;28.0;0.230852272727
7;10;-12.7956439394;323.0;-0.0396149967164
6;10;1.86666666667;16.0;0.116666666667
5;10;42.290530303;142.0;0.297820635937
4;10;31.5939393939;152.0;0.207854864434
3;10;7.86647727273;50.0;0.157329545455
2;10;24.7911255411;68.0;0.364575375605
1;10;12.8933688823;89.0;0.144869313284
30;9;415.340843254;707.0;0.58746936811
29;9;16.6339285714;188.0;0.0884783434651
28;9;-0.796944444467;335.0;-0.0023789386402
27;9;59.9883116883;480.0;0.124975649351
26;9;28.855501443;161.0;0.179226717037
25;9;0.989583333333;10.0;0.0989583333333
24;9;3.06916666667;8.0;0.383645833333
23;9;6.8734848485;54.0;0.127286756454
22;9;128.443826659;690.0;0.18615047342
21;9;-15.6107683983;804.0;-0.0194163786049
20;9;5.13888888889;20.0;0.256944444444
19;9;37.6506944444;191.0;0.197124054683
18;9;0.694642857144;16.0;0.0434151785715
17;9;11.7972727273;104.0;0.113435314685
16;9;40.0016666667;126.0;0.317473544974
15;9;183.648681457;735.0;0.249862151643
14;9;98.9479933261;791.0;0.125092279805
13;9;-392.316768128;833.0;-0.470968509157
12;9;2.54017857143;6.0;0.423363095238
11;9;24.8833333333;64.0;0.388802083333
10;9;14.6238933983;29.0;0.504272186147
9;9;10.9226190476;29.0;0.376642036125
8;9;114.690745851;611.0;0.18770989501
