# date;sentiment;objectivity;retweets;favourites
08.11.2016 00:57;1;1;1;0
08.11.2016 00:33;0;0;0;0
08.11.2016 00:28;-0.4;0.45;0;0
08.11.2016 00:25;0.056944444;0.701388889;0;6
08.11.2016 00:05;0;0.066666667;0;1
08.11.2016 00:01;0;0;7;7
07.11.2016 23:59;0.5;0.5;0;1
07.11.2016 23:56;-0.377777778;0.544444444;1;0
07.11.2016 23:56;0;0;2;4
07.11.2016 23:55;0;0.333333333;3;1
07.11.2016 23:51;0;0;13;11
07.11.2016 23:45;-0.5;0.5;1;3
07.11.2016 23:42;0.072222222;0.194444444;0;1
07.11.2016 23:41;0.4;0.3125;0;0
07.11.2016 23:40;0;0.325;0;5
07.11.2016 23:37;0.625;0.6;0;1
07.11.2016 23:31;0;0;1;0
07.11.2016 23:19;0;0;1;2
07.11.2016 23:12;0.25;0.333333333;0;0
07.11.2016 23:11;0;0;0;3
07.11.2016 23:08;0;0;3;3
07.11.2016 22:59;0.25;0.3;0;0
07.11.2016 22:41;0;0;0;1
07.11.2016 22:40;0;0;15;13
07.11.2016 22:40;0.4375;0.65;0;2
07.11.2016 22:39;0;0;0;0
07.11.2016 22:37;0;0.3;0;0
07.11.2016 22:27;0;0;0;0
07.11.2016 22:12;0;0;0;0
07.11.2016 22:11;0;0;3;3
07.11.2016 22:02;0;0;0;0
07.11.2016 22:01;-0.25;0.4;0;1
07.11.2016 21:59;0;0;2;6
07.11.2016 21:47;0.7;0.9;0;0
07.11.2016 21:39;0;0;0;0
07.11.2016 21:34;0;0;0;0
07.11.2016 21:25;0.5;0.888888889;0;0
07.11.2016 21:24;0;0;1;3
07.11.2016 21:20;0.25;0.333333333;0;0
07.11.2016 21:19;0.05;0.2;1;0
07.11.2016 21:19;0;0;7;4
07.11.2016 21:18;0;0;0;0
07.11.2016 21:16;0;0;1;0
07.11.2016 21:12;0;0;0;0
07.11.2016 21:12;-0.1;0.6;0;0
07.11.2016 21:12;0.45;0.6;0;0
07.11.2016 21:11;0.5;0.5;1;2
07.11.2016 21:04;0;0;13;9
07.11.2016 21:03;0.4;0.566666667;0;0
07.11.2016 21:02;0;0;3;3
07.11.2016 20:55;-0.05625;0.64375;1;3
07.11.2016 20:53;0.42;0.608333333;0;1
07.11.2016 20:52;0;0;0;0
07.11.2016 20:52;0.5;0.6;0;0
07.11.2016 20:49;1;1;0;0
07.11.2016 20:44;-1;1;0;0
07.11.2016 20:44;0;0;0;2
07.11.2016 20:44;0;0;0;0
07.11.2016 20:38;0;0;0;1
07.11.2016 20:37;-0.125;0.125;0;0
07.11.2016 20:36;0.561904762;0.578571429;0;0
07.11.2016 20:34;0.8;0.75;1;2
07.11.2016 20:34;-0.3;0.62;1;1
07.11.2016 20:34;-0.25;0.5;0;0
07.11.2016 20:33;0.5;0.55;0;0
07.11.2016 20:32;0.2;0.2;1;3
07.11.2016 20:29;0;0;2;3
07.11.2016 20:29;0.525;0.625;0;1
07.11.2016 20:27;0.516666667;0.707407407;11;16
07.11.2016 20:26;0;0;4;2
07.11.2016 20:25;0.166666667;0.796296296;0;0
07.11.2016 20:23;0;0;0;0
07.11.2016 20:21;0;0;1;2
07.11.2016 20:20;0.4;0.408333333;14;19
07.11.2016 20:19;0;0;2;3
07.11.2016 20:18;0;0;1;1
07.11.2016 20:18;0;0;4;4
07.11.2016 20:14;0;0;6;3
07.11.2016 20:14;0;0;1;0
07.11.2016 20:13;0;0;5;3
07.11.2016 20:12;0.5;0.5;25;130
07.11.2016 20:09;0.270833333;0.366666667;5;9
07.11.2016 20:09;0;0;0;1
07.11.2016 20:08;0;0;0;0
07.11.2016 20:07;0.008333333;0.658333333;0;0
07.11.2016 20:04;0;0;0;0
07.11.2016 20:02;0;0;0;0
07.11.2016 20:00;0;0;0;0
07.11.2016 19:59;0;0.5;2;2
07.11.2016 19:58;0;0;0;2
07.11.2016 19:57;-0.2275;0.7075;0;0
07.11.2016 19:56;0.8;1;0;0
07.11.2016 19:54;0.3625;0.4125;0;0
07.11.2016 19:54;1;0.3;0;0
07.11.2016 19:52;0.8;1;0;0
07.11.2016 19:52;-0.26;0.466666667;0;0
07.11.2016 19:43;-0.2375;0.6125;3;5
07.11.2016 19:29;0.175;0.4;0;0
07.11.2016 19:26;0.0625;0.25;0;0
07.11.2016 19:22;-0.175;0.675;1;1
07.11.2016 19:21;0;0;2;2
07.11.2016 19:15;0;0;0;0
07.11.2016 19:15;-0.125;0.125;456;391
07.11.2016 19:14;0;0.166666667;0;1
07.11.2016 19:09;0;0;0;1
07.11.2016 19:07;0.357142857;0.535714286;2;1
