# date;sentiment;objectivity;retweets;favourites
2016-11-08 00:41;0;0;0;0
2016-11-08 00:41;0;1;0;0
2016-11-08 00:19;0.8375;0.75;0;0
2016-11-08 00:18;0.8;0.9;0;0
2016-11-08 00:13;0;0;1;1
2016-11-08 00:08;0;0;0;0
2016-11-07 23:42;0;0.75;0;0
2016-11-07 23:36;0.6;0.716666667;3;3
2016-11-07 23:31;0;0;0;0
2016-11-07 22:51;-0.7;0.666666667;0;0
2016-11-07 22:36;0;0;0;0
2016-11-07 22:34;0.46875;0.65;0;1
2016-11-07 22:13;0;0;0;0
2016-11-07 22:13;0.357142857;0.571428571;0;0
2016-11-07 22:04;0;0.05;1;3
2016-11-07 21:51;0;0;6;9
2016-11-07 21:45;0.138392857;0.392857143;0;0
2016-11-07 21:44;0;0;0;1
2016-11-07 21:44;0;0;0;1
2016-11-07 21:29;0;0;0;1
2016-11-07 21:04;0;0;0;1
2016-11-07 20:58;0;0;6;9
2016-11-07 20:53;-0.5;0.9;0;0
2016-11-07 20:53;0;0;1;0
2016-11-07 20:50;0;0.4;0;0
2016-11-07 20:35;0;0;1;2
2016-11-07 20:34;0.5;0.5;0;2
2016-11-07 20:34;-0.5;1;1;1
2016-11-07 20:33;0;0;1;1
2016-11-07 20:31;0.357142857;0.571428571;1;3
2016-11-07 20:17;-0.0625;0.45;0;3
2016-11-07 20:05;0;0;2;1
2016-11-07 19:45;0;0;0;0
2016-11-07 19:38;0.033333333;0.566666667;0;0
2016-11-07 19:36;0.142857143;0.330357143;0;0
2016-11-07 19:34;0.525;0.55;0;1
2016-11-07 19:32;0;0;67;105
2016-11-07 19:31;1;1;7;9
2016-11-07 19:20;-0.15;0.8;0;1
2016-11-07 19:08;0;0;0;2
2016-11-07 19:07;0;0;5;5
2016-11-07 19:00;0;0;1;1
2016-11-07 18:58;0;0.1;0;1
2016-11-07 18:53;0.166666667;0.283333333;0;0
2016-11-07 18:48;-0.083333333;0.533333333;1;0
2016-11-07 18:46;0.285714286;0.535714286;0;0
2016-11-07 18:43;-0.3625;0.6875;3;2
2016-11-07 18:32;0.26;0.26;0;0
2016-11-07 18:30;0;0;0;0
2016-11-07 18:19;-0.875;1;0;1
2016-11-07 18:19;0;0;0;1
2016-11-07 18:02;0.1;0.2;1;1
2016-11-07 17:48;0;0;1;0
2016-11-07 17:30;0;1;0;0
2016-11-07 17:18;0;0;0;1
2016-11-07 17:07;0;0;0;0
2016-11-07 16:35;0.7;0.6;0;0
2016-11-07 16:34;0;0;0;0
2016-11-07 16:31;0.125;0.625;0;0
2016-11-07 16:18;0.5;0.5;1;0
2016-11-07 16:17;0;0;0;0
2016-11-07 16:03;0.8;0.75;0;0
2016-11-07 15:53;0;0;0;1
2016-11-07 15:48;0;0;0;0
2016-11-07 15:05;0.136363636;0.454545455;0;3
2016-11-07 14:50;0;0;0;1
2016-11-07 14:24;0;1;0;0
2016-11-07 14:18;0;0.125;0;0
2016-11-07 14:09;0;0;15;15
2016-11-07 14:03;-0.9;1;0;0
2016-11-07 14:03;0;0.9;0;0
2016-11-07 13:21;0.25;0.5;0;0
2016-11-07 09:44;0;0;0;0
2016-11-07 08:14;0;0;23;8
2016-11-07 06:23;0;0;0;2
2016-11-07 06:23;0;0;1;0
2016-11-07 04:15;0.308333333;0.475;0;0
2016-11-07 03:56;0;0;0;0
2016-11-07 03:24;0.75;1;0;0
2016-11-07 03:04;-0.4;0.7;0;0
2016-11-07 02:57;0.35;0.3;0;0
2016-11-07 02:50;0.2;0.2;1;0
2016-11-07 01:43;-0.2;0.9;0;0
2016-11-07 00:31;-0.0625;0.5;3;3
2016-11-07 00:14;0.5;0.5;0;0
2016-11-07 00:05;0;0;0;0
2016-11-06 23:51;0.05;0.7;0;0
2016-11-06 23:49;0.8;0.7;0;0
2016-11-06 23:43;-0.3125;0.2;0;0
2016-11-06 23:35;-0.452777778;0.519444444;0;0
2016-11-06 23:33;0;0;0;0
2016-11-06 23:10;0;0;1;0
2016-11-06 23:04;0.225;0.45;0;0
2016-11-06 22:57;0.5;0.5;3;5
2016-11-06 22:35;0;0;2;0
2016-11-06 22:33;0.233333333;0.433333333;3;3
2016-11-06 22:22;0.178571429;0.335714286;0;0
2016-11-06 22:15;0;0.5;0;0
2016-11-06 21:10;-0.3;0.533333333;0;0
2016-11-06 21:03;0;0.7;0;0
2016-11-06 21:02;0;0;0;0
2016-11-06 20:56;0.133333333;0.5;0;0
2016-11-06 18:39;-0.208333333;0.433333333;4;11
2016-11-06 18:25;-0.004340278;0.227777778;0;1
2016-11-06 17:57;0;0;1;1
2016-11-06 17:09;0.016666667;0.425;0;0
2016-11-06 17:00;0;0;0;0
2016-11-06 16:15;0;0;0;1
2016-11-06 15:45;-0.15625;0.5;2;1
2016-11-06 12:27;0;0;4;4
2016-11-06 05:18;0.433333333;0.733333333;0;2
2016-11-06 02:03;0;0;2;5
2016-11-06 01:00;0;0;5;4
2016-11-06 00:32;0.125;0.316666667;1;4
2016-11-06 00:05;0;0;0;1
2016-11-05 23:59;0;0;0;0
2016-11-05 23:17;-0.15;0.4;0;0
2016-11-05 22:20;0;0;0;2
2016-11-05 22:06;-0.15;0.4;0;0
2016-11-05 21:59;1;1;3;7
2016-11-05 21:58;0;0;0;2
2016-11-05 21:58;-0.15;0.4;124;449
2016-11-05 21:04;0.285714286;0.535714286;0;0
2016-11-05 20:56;-0.25;0.25;0;0
2016-11-05 20:53;-0.15;0.4;0;0
2016-11-05 20:48;0;0;0;1
2016-11-05 20:45;-0.15;0.4;105;380
2016-11-05 20:31;0.2;0.1;0;0
2016-11-05 20:22;0.8;0.9;0;0
2016-11-05 20:20;0.138392857;0.392857143;0;3
2016-11-05 20:05;0;0;0;0
2016-11-05 19:53;0.233333333;0.555555556;0;8
2016-11-05 19:31;0;0;0;1
2016-11-05 19:05;0;0;0;2
2016-11-05 17:35;0;0;8;24
2016-11-05 17:26;0;0;2;1
2016-11-05 17:18;0;0.333333333;1;0
2016-11-05 16:13;0;0;2;0
2016-11-05 15:54;0;0.1;0;1
2016-11-05 15:25;0.25;0.25;4;6
2016-11-05 15:20;-0.333333333;0.666666667;0;1
2016-11-05 15:07;0;0;1;2
2016-11-05 15:04;0;0;0;0
2016-11-05 15:02;0.513636364;0.472727273;1;4
2016-11-05 15:02;-0.1;0.2;0;1
2016-11-05 15:00;0;0;94;117
2016-11-05 05:51;0;0;0;0
2016-11-05 05:19;0;0;0;0
2016-11-05 05:08;0.5;0.6;0;0
2016-11-05 04:45;0.25;0.45;0;0
2016-11-05 04:03;0.5;0.9;2;2
2016-11-05 04:02;0;0;0;1
