# date;sentiment;objectivity;retweets;favourites
07.11.2016 23:19;0.5;0.5;6;5
07.11.2016 23:17;0;0;1;1
07.11.2016 23:07;0;0;18;19
07.11.2016 23:02;-0.3;0.6;1;2
07.11.2016 22:41;0.357142857;0.535714286;13;2
07.11.2016 22:39;0;0;5;5
07.11.2016 20:31;0;0;0;0
07.11.2016 18:23;-0.2;0.4;0;0
07.11.2016 17:51;0;0;9;8
07.11.2016 15:00;-0.45;0.6;0;0
07.11.2016 12:20;-0.155555556;0.288888889;1;8
07.11.2016 02:48;0;0;1;1
07.11.2016 02:24;0;0.066666667;0;3
06.11.2016 23:54;0.305555556;0.616666667;0;0
06.11.2016 22:36;-0.083333333;0.25;0;2
06.11.2016 21:52;0;0.1;1;0
06.11.2016 20:52;0;0;10;10
06.11.2016 20:08;-0.116071429;0.685714286;1;1
06.11.2016 18:39;0;0;0;0
06.11.2016 18:06;-0.166666667;1;0;0
06.11.2016 17:55;0;0;1;3
06.11.2016 16:10;0;0;0;0
06.11.2016 03:27;0;0;3;2
06.11.2016 03:02;0;0;9;11
06.11.2016 01:03;0;0;2;1
05.11.2016 20:10;-0.5859375;0.5;0;0
05.11.2016 20:10;0;0;0;0
05.11.2016 20:09;0;0;0;0
05.11.2016 06:27;0.3125;0.333333333;1;6
05.11.2016 03:41;-0.125;0.2;0;0
04.11.2016 21:49;-0.4;0.55;0;0
04.11.2016 20:41;0;0;7;0
04.11.2016 18:48;0.25;0.494444444;0;1
04.11.2016 16:51;0;0.5;0;0
04.11.2016 16:24;0.2;0.3;0;1
04.11.2016 04:59;0;0;0;0
04.11.2016 03:46;0.083333333;0.583333333;0;1
04.11.2016 03:29;0.05;0.15;3;5
04.11.2016 03:25;0;0;0;0
04.11.2016 02:19;0.30625;0.625;4;18
04.11.2016 02:04;0.25;0.5;0;2
04.11.2016 01:33;0;0;1;0
04.11.2016 00:55;0.625;0.875;3;11
03.11.2016 22:27;0;0;1;0
03.11.2016 21:24;0;0;0;1
03.11.2016 20:57;0;0;1;0
03.11.2016 19:06;0.35;0.641666667;2;2
03.11.2016 19:03;1;0.3;1;3
03.11.2016 18:05;0;0;4;6
03.11.2016 14:31;-0.6;1;1;1
03.11.2016 13:53;0.678571429;0.717857143;0;0
03.11.2016 06:45;0;0;0;3
03.11.2016 06:24;-0.3375;0.825;0;0
03.11.2016 05:51;0;0;2;3
03.11.2016 04:07;-0.075;0.4;0;0
03.11.2016 04:01;0.580357143;0.742857143;4;4
03.11.2016 02:44;0;0.1;0;0
03.11.2016 02:43;0.136363636;0.5;2;6
03.11.2016 02:40;0;0;33;49
03.11.2016 02:40;0;0;0;1
03.11.2016 01:33;0.3125;0.55;2;9
02.11.2016 22:16;0;0;0;0
02.11.2016 19:26;0.4;0.45;0;0
02.11.2016 19:04;0;0;0;0
02.11.2016 19:03;0.35;0.35;0;0
02.11.2016 18:43;0;0;0;0
02.11.2016 18:13;0;0;9;4
02.11.2016 18:03;0.3125;0.3;0;1
02.11.2016 18:01;0;0;50;88
02.11.2016 17:17;0.136363636;0.454545455;9;6
02.11.2016 16:17;-0.3;0.5;0;0
02.11.2016 14:46;0.8;0.9;0;0
02.11.2016 08:11;0;0;0;0
02.11.2016 04:26;0.4;1;1;1
02.11.2016 04:24;0.4;1;0;1
02.11.2016 01:19;-0.090909091;0.488636364;6;4
02.11.2016 00:22;0;0;0;0
01.11.2016 22:31;1;0.75;0;0
01.11.2016 20:52;0;0;11;11
01.11.2016 19:24;-0.35;0.366666667;11;16
01.11.2016 19:00;0;0;2;3
01.11.2016 18:13;0;0.5;0;0
01.11.2016 18:12;0;0;0;0
01.11.2016 16:49;-0.5859375;0.4;1;1
01.11.2016 14:49;0;0;0;0
01.11.2016 14:47;0;0.4375;0;0
01.11.2016 14:45;0;0;0;0
01.11.2016 08:14;-0.2;0.5;0;0
01.11.2016 07:04;0;0;0;1
31.10.2016 23:56;0;0;19;21
31.10.2016 15:33;0;0;0;2
31.10.2016 02:32;0;0;0;0
31.10.2016 01:09;0;0;1;1
30.10.2016 22:05;0;0;7;12
30.10.2016 21:31;0.136363636;0.454545455;2;3
30.10.2016 20:58;0;0;2;4
30.10.2016 17:48;0;0;1;1
30.10.2016 17:30;0;0;0;0
30.10.2016 16:38;0;0;0;0
30.10.2016 02:51;0.8;1;0;4
30.10.2016 01:28;0;0;2;3
30.10.2016 00:08;0.0625;0.2;1;2
30.10.2016 00:07;0;0.1;1;2
29.10.2016 23:55;0;0;3;4
29.10.2016 23:24;0;0.066666667;0;0
29.10.2016 22:03;0.175;0.375;4;5
29.10.2016 21:59;-0.833333333;1;1;1
29.10.2016 21:17;0;0;32;33
29.10.2016 21:16;-0.1;0.1;13;19
29.10.2016 21:02;0;0;2;2
29.10.2016 20:52;0;0;11;11
