# date;sentiment;objectivity;retweets;favourites
08.11.2016 00:23;0.5;0.6;0;0
08.11.2016 00:15;1;0.6;6;7
08.11.2016 00:06;0;0;7;5
08.11.2016 00:01;0;0;3;3
07.11.2016 23:55;0;0;0;0
07.11.2016 23:37;-0.1;0.1;19;29
07.11.2016 23:35;0.4;0.25;24;27
07.11.2016 23:15;0;0;2;3
07.11.2016 23:02;0;0;0;0
07.11.2016 22:56;0;0;1;1
07.11.2016 22:55;0;0;2;1
07.11.2016 22:51;0.4;0.45;54;49
07.11.2016 22:49;-0.2;0.475;34;39
07.11.2016 22:46;0;0;0;0
07.11.2016 22:38;0.78125;0.5;44;67
07.11.2016 22:26;0;0;13;6
07.11.2016 21:43;0.25;0.2;1;3
07.11.2016 21:33;0.7;0.6;0;1
07.11.2016 21:31;0;0;19;89
07.11.2016 21:27;-0.155555556;0.288888889;0;0
07.11.2016 21:10;0;0;0;1
07.11.2016 21:03;0.9;0.875;0;0
07.11.2016 20:51;0.375;0;0;3
07.11.2016 20:45;0;1;5;18
07.11.2016 20:19;0;0;0;0
07.11.2016 20:05;-0.6;0.95;4;1
07.11.2016 19:34;0;0;1;2
07.11.2016 19:30;0;0;1;1
07.11.2016 19:19;0.05625;0.34375;0;1
07.11.2016 18:50;0.2;0.3;0;0
07.11.2016 18:02;0;0;2;3
07.11.2016 17:59;0.45;0.75;49;89
07.11.2016 17:47;0.35;0.3625;2;2
07.11.2016 17:37;0;0;16;22
07.11.2016 17:27;1;1;0;2
07.11.2016 17:14;0;0.1;0;1
07.11.2016 17:13;0.8;0.9;67;63
07.11.2016 17:03;0;0;0;1
07.11.2016 16:54;0.5;0.888888889;119;126
07.11.2016 15:48;0;0;1;0
07.11.2016 15:46;0;0;0;0
07.11.2016 14:54;0;0;1;1
07.11.2016 14:44;0;0;0;0
07.11.2016 13:59;0;0;7;10
07.11.2016 13:06;0;0;6;10
07.11.2016 12:36;0.5;0.4;0;1
07.11.2016 08:45;0.170833333;0.466666667;0;1
07.11.2016 06:14;0;0;0;0
07.11.2016 06:11;0;0.388888889;0;0
07.11.2016 05:58;0;0;0;1
07.11.2016 04:15;0;0;0;1
07.11.2016 04:02;0;0;2;2
07.11.2016 03:51;0.2;0.3;0;0
07.11.2016 03:31;0;0;0;0
07.11.2016 03:30;0.8;0.2;0;9
07.11.2016 03:15;0;0;0;0
07.11.2016 02:47;0.8;0.9;0;2
07.11.2016 02:13;0.35;0.7;0;0
07.11.2016 02:04;0;0.1;3;6
07.11.2016 01:15;0.8;1;0;1
07.11.2016 01:07;0;0.125;0;0
07.11.2016 00:55;0;0;0;0
07.11.2016 00:35;1;1;0;0
06.11.2016 23:59;-0.1;0.1;0;0
06.11.2016 23:28;0;1;0;0
06.11.2016 23:23;0.6;0.7;1;3
06.11.2016 23:15;0.75;0.675;0;1
06.11.2016 22:24;0;0;20;31
06.11.2016 21:51;0;0;0;3
06.11.2016 21:50;0;0;1;1
06.11.2016 21:42;0;0;0;1
06.11.2016 21:27;0.25;0.2;0;1
06.11.2016 21:26;0;0;0;0
06.11.2016 21:12;0;0;0;0
06.11.2016 20:37;0.541666667;0.833333333;10;12
06.11.2016 20:10;0;0.1;3;7
06.11.2016 20:05;0;0;2;2
06.11.2016 19:50;0;0;1;3
06.11.2016 19:46;0.3;0.519642857;0;0
06.11.2016 19:41;0;0;0;0
06.11.2016 19:36;0;0;23;72
06.11.2016 19:30;0;0;1;0
06.11.2016 19:13;0;0;1;4
06.11.2016 19:08;-0.05;0.05;16;39
06.11.2016 18:51;0.4;0.5;0;0
06.11.2016 18:40;0.04765625;0.35;1;0
06.11.2016 18:34;0.5;0.65;1;2
06.11.2016 18:13;1;0.6;1;8
06.11.2016 18:06;0;0;0;1
06.11.2016 17:52;0;0;1;2
06.11.2016 17:49;0.5;0.2;0;0
06.11.2016 17:43;0;0;0;1
06.11.2016 17:33;0;0;0;1
06.11.2016 17:31;0;0.25;61;119
06.11.2016 17:17;0.6390625;0.6625;8;106
06.11.2016 17:13;0;0;0;0
06.11.2016 16:57;1;1;1;0
06.11.2016 16:54;0;0;4;3
06.11.2016 16:52;0;0;21;20
06.11.2016 16:49;0;0;8;15
06.11.2016 15:50;0;0;3;1
06.11.2016 15:48;0;0;0;2
06.11.2016 15:47;0.6;0.75;0;4
06.11.2016 15:30;0;0;10;1
06.11.2016 15:16;0;1;0;0
06.11.2016 14:10;0;0;0;0
06.11.2016 13:29;0.0375;0.15;3;4
06.11.2016 12:44;0;0;0;0
06.11.2016 12:39;0.25;0.25;0;0
06.11.2016 10:10;0.5;0.6;0;1
06.11.2016 03:59;0.75;0.5;0;1
06.11.2016 03:39;0.375;0.45;0;6
06.11.2016 03:21;0.575;0.775;3;6
06.11.2016 02:49;0;0;1;3
06.11.2016 02:43;-0.625;0.9;0;0
06.11.2016 02:26;0.3375;0.55;0;0
06.11.2016 02:00;0;0;1;1
06.11.2016 01:46;-0.15;0.75;0;1
06.11.2016 01:40;0.8;1;341;503
06.11.2016 01:35;0;0;1;4
06.11.2016 01:33;-0.05;0.683333333;0;1
06.11.2016 01:26;1;0.75;1;0
06.11.2016 01:10;0;0;0;0
06.11.2016 00:17;0.8;1;17;83
06.11.2016 00:26;0.125;0.35;44;116
06.11.2016 00:20;0.068181818;0.727272727;0;0
06.11.2016 00:12;0;0;0;0
05.11.2016 23:52;0;0;1;0
05.11.2016 23:44;0.05;0.183333333;2;2
05.11.2016 22:25;0;0;28;77
05.11.2016 22:10;0;0;1;1
05.11.2016 21:53;0;0;2;1
05.11.2016 21:37;0;0;0;1
05.11.2016 21:14;0;0.1;0;1
05.11.2016 21:14;0;1;2;1
05.11.2016 20:57;1;0.3;0;1
05.11.2016 20:43;0.1;0.475;3;7
05.11.2016 20:33;0;0;5;10
05.11.2016 20:15;0.2;0.9;181;255
05.11.2016 20:14;0;0;1;2
05.11.2016 20:03;0;0;0;1
05.11.2016 20:02;0;0;1;3
05.11.2016 19:41;0.6375;0.75;0;1
05.11.2016 19:39;0;0;2;6
05.11.2016 19:35;0;0;0;1
05.11.2016 19:35;0;0;7;6
05.11.2016 19:33;0;0.1;9;12
05.11.2016 19:20;1;0.3;0;1
05.11.2016 19:20;0;0.5;0;1
05.11.2016 19:20;0;0;0;1
05.11.2016 19:18;0;0;1;1
05.11.2016 19:17;-0.2;0.1;15;71
05.11.2016 19:06;0.525;0.625;5;4
05.11.2016 18:59;1;0.75;0;3
05.11.2016 18:53;0;0;24;57
05.11.2016 18:49;0;0.1;0;0
05.11.2016 18:48;-0.328125;0.541666667;128;131
05.11.2016 18:42;0;0;7;12
05.11.2016 18:40;0;0;0;2
05.11.2016 18:36;1;1;0;0
05.11.2016 18:25;0;0.125;5;6
05.11.2016 18:16;0;0;1;2
05.11.2016 18:14;0;0;0;0
05.11.2016 18:09;0.8;0.75;3;1
05.11.2016 18:07;0;0;0;2
05.11.2016 17:59;0;0;1;1
05.11.2016 17:50;0.16;0.54;0;0
05.11.2016 17:46;0.5;1;26;91
05.11.2016 17:43;0.136363636;0.454545455;0;0
05.11.2016 17:40;1;0.75;2;2
05.11.2016 17:34;0;0;1;3
05.11.2016 17:31;0.8;0.9;1;3
05.11.2016 17:23;0.25;0.25;0;0
05.11.2016 17:20;0;0;14;37
05.11.2016 17:04;0;0;3;4
05.11.2016 16:42;0;0;0;1
05.11.2016 16:40;0;0;1;2
05.11.2016 16:27;0.5;0.5;1;16
05.11.2016 16:25;0.2;1;0;0
05.11.2016 16:20;0;0;0;0
05.11.2016 16:18;0;0;2;11
05.11.2016 16:08;0.1;0.2;1368;1773
05.11.2016 15:46;0;0;0;1
05.11.2016 15:45;0;0;0;0
05.11.2016 15:20;0;0;0;4
05.11.2016 15:19;0;0.2625;0;0
05.11.2016 09:34;0;0;0;0
05.11.2016 05:34;1;0.75;0;1
05.11.2016 05:14;0;0;0;1
05.11.2016 05:09;0;0;0;0
05.11.2016 04:52;0.366666667;0.633333333;1;3
05.11.2016 03:44;0;1;1;2
05.11.2016 03:07;0.170454545;0.454545455;0;0
05.11.2016 03:04;0.0625;0.5;0;0
05.11.2016 03:04;-0.1;0.3;1;2
05.11.2016 03:02;-0.394444444;0.716666667;0;6
05.11.2016 02:51;0.316666667;0.883333333;0;0
05.11.2016 02:46;0.55;0.75;1;0
05.11.2016 02:46;0.5;0.9;1;0
05.11.2016 02:45;-0.7;0.666666667;0;0
05.11.2016 02:13;-0.5;1;0;0
05.11.2016 02:07;-0.027777778;0.594444444;4;2
05.11.2016 02:00;0;0;0;0
05.11.2016 01:58;0.525;0.616666667;22;79
05.11.2016 01:58;-0.1;0.65;0;0
05.11.2016 01:57;0;0;0;1
05.11.2016 01:55;0.1;1;3;2
05.11.2016 01:51;0;0;0;1
05.11.2016 01:50;-0.041666667;0.291666667;1;2
05.11.2016 01:43;0;0;0;0
05.11.2016 01:42;0;0;42;101
05.11.2016 01:39;0.05;0.233333333;53;48
05.11.2016 01:37;0.144444444;0.222222222;59;85
05.11.2016 01:37;0.8;0.75;0;12
05.11.2016 01:37;0.233333333;0.319047619;9;2
05.11.2016 01:36;0;0.8;33;49
05.11.2016 01:36;0.170454545;0.454545455;0;4
05.11.2016 01:34;0.2;0.1;20;29
05.11.2016 01:33;-0.166666667;0.066666667;1;0
05.11.2016 01:32;0;0.25;4;1
05.11.2016 01:32;0;0;0;1
05.11.2016 01:31;0;0;27;34
05.11.2016 01:31;-0.083333333;0.158333333;4;0
05.11.2016 01:31;-0.004166667;0.241666667;8;1
05.11.2016 01:30;0;0.1;5;5
05.11.2016 01:30;0;0;0;1
05.11.2016 01:29;-0.1;0.1;2;0
05.11.2016 01:29;0.25;0.4;13;19
05.11.2016 01:27;0.583333333;0.5;0;1
05.11.2016 01:25;0;0;29;45
